County,Change
Amador,0.8
El Dorado,0.8
Calaveras,0.9
Mendocino,1
Nevada,1
Placer,1
Glenn,1.3
Alpine,1.4
Tehama,1.4
Tuolumne,1.4
Yuba,1.4
Butte,1.5
Lake,1.5
Sacramento,1.5
Sierra,1.6
Colusa,1.7
Plumas,1.7
Sutter,1.8
Yolo,1.8
Mariposa,1.9
San Joaquin,1.9
Shasta,1.9
Trinity,2
Humboldt,2.1
Sonoma,2.1
Mono,2.2
Solano,2.2
Napa,2.4
San Diego,2.4
Stanislaus,2.4
Fresno,2.5
Marin,2.5
Contra Costa,2.6
Kings,2.6
Merced,2.6
San Luis Obispo,2.6
Tulare,2.6
Lassen,2.7
Madera,2.7
Siskiyou,2.7
Del Norte,2.8
Inyo,2.8
Alameda,2.9
Kern,3
Monterey,3
San Francisco,3
Riverside,3.2
San Bernardino,3.3
San Mateo,3.3
Imperial,3.4
San Benito,3.4
Santa Clara,3.4
Modoc,3.6
Santa Cruz,3.6
Orange,3.7
Los Angeles,4.1
Santa Barbera,4.2
Ventura,4.6
