Year,Acreage_Planted,County
2011,20,Alameda
2011,64,Amador
2011,5,Butte
2011,8,Calaveras
2011,0,Colusa
2011,35,Contra Costa
2011,29,El Dorado
2011,1164,Fresno
2011,0,Glenn
2011,0,Humboldt
2011,494,Kern
2011,0,Kings
2011,89,Lake
2011,0,Lassen
2011,3,Los Angeles
2011,595,Madera
2011,1,Marin
2011,0,Mariposa
2011,202,Mendocino
2011,481,Merced
2011,759,Monterey
2011,758,Napa
2011,3,Nevada
2011,0,Orange
2011,0,Placer
2011,27,Riverside
2011,822,Sacramento
2011,0,San Benito
2011,0,San Bernardino
2011,31,San Diego
2011,1038,San Joaquin
2011,479,San Luis Obispo
2011,0,San Mateo
2011,274,Santa Barbara
2011,15,Santa Clara
2011,3,Santa Cruz
2011,0,Shasta
2011,0,Siskiyou
2011,22,Solano
2011,552,Sonoma
2011,10,Stanislaus
2011,0,Sutter
2011,0,Tehama
2011,0,Trinity
2011,165,Tulare
2011,0,Tuolumne
2011,1,Ventura
2011,335,Yolo
2011,0,Yuba
2012,10,Alameda
2012,203,Amador
2012,13,Butte
2012,6,Calaveras
2012,0,Colusa
2012,43,Contra Costa
2012,65,El Dorado
2012,1295,Fresno
2012,0,Glenn
2012,0,Humboldt
2012,847,Kern
2012,179,Kings
2012,146,Lake
2012,0,Lassen
2012,0,Los Angeles
2012,1502,Madera
2012,1,Marin
2012,0,Mariposa
2012,551,Mendocino
2012,1106,Merced
2012,1193,Monterey
2012,737,Napa
2012,0,Nevada
2012,0,Orange
2012,2,Placer
2012,50,Riverside
2012,798,Sacramento
2012,92,San Benito
2012,2,San Bernardino
2012,32,San Diego
2012,1234,San Joaquin
2012,1463,San Luis Obispo
2012,6,San Mateo
2012,743,Santa Barbara
2012,18,Santa Clara
2012,8,Santa Cruz
2012,4,Shasta
2012,0,Siskiyou
2012,34,Solano
2012,736,Sonoma
2012,111,Stanislaus
2012,0,Sutter
2012,3,Tehama
2012,0,Trinity
2012,482,Tulare
2012,3,Tuolumne
2012,1,Ventura
2012,471,Yolo
2012,3,Yuba
2017,6,Alameda
2017,33,Amador
2017,4,Butte
2017,5,Calaveras
2017,0,Colusa
2017,4,Contra Costa
2017,25,El Dorado
2017,335,Fresno
2017,0,Glenn
2017,0,Humboldt
2017,12,Kern
2017,0,Kings
2017,107,Lake
2017,0,Lassen
2017,0,Los Angeles
2017,789,Madera
2017,0,Marin
2017,0,Mariposa
2017,278,Mendocino
2017,134,Merced
2017,705,Monterey
2017,761,Napa
2017,0,Nevada
2017,0,Orange
2017,0,Placer
2017,12,Riverside
2017,835,Sacramento
2017,30,San Benito
2017,0,San Bernardino
2017,14,San Diego
2017,732,San Joaquin
2017,508,San Luis Obispo
2017,2,San Mateo
2017,775,Santa Barbara
2017,7,Santa Clara
2017,1,Santa Cruz
2017,0,Shasta
2017,0,Siskiyou
2017,105,Solano
2017,557,Sonoma
2017,0,Stanislaus
