Year,Acreage Planted,Varietal,Type
2011,7,Aglianico,Red
2011,1,Alicante Bouschet,Red
2011,15,Barbera,Red
2011,29,Cabernet Franc,Red
2011,1393,Cabernet Sauvignon,Red
2011,3,Carignane,Red
2011,0,Carmenere,Red
2011,1,Charbono,Red
2011,1,Cinsaut,Red
2011,4,Counoise,Red
2011,1,Dolcetto,Red
2011,19,Dornfelder,Red
2011,0,Gamay,Red
2011,22,Graciano,Red
2011,95,Grenache,Red
2011,0,Lagrein,Red
2011,447,Malbec,Red
2011,433,Merlot,Red
2011,8,Meunier,Red
2011,0,Mission,Red
2011,0,Montepulciano,Red
2011,38,Mourvedre,Red
2011,0,Muscat Hamburg,Red
2011,1,Nebbiolo,Red
2011,164,Petit Verdot,Red
2011,505,Petite Sirah,Red
2011,687,Pinot Noir,Red
2011,0,Pinotage,Red
2011,16,Primitivo,Red
2011,297,Rubired,Red
2011,0,Ruby Cabernet,Red
2011,32,Sangiovese,Red
2011,0,Souzao,Red
2011,45,Syrah,Red
2011,9,Tannat,Red
2011,16,Tempranillo,Red
2011,6,Teroldego,Red
2011,1,Touriga Nacional,Red
2011,130,Zinfandel,Red
2011,41,Other Red Wine,Red
2011,19,Albarino,White
2011,0,Arneis,White
2011,1039,Chardonnay,White
2011,83,Chenin Blanc,White
2011,515,French Colombard,White
2011,139,Gewurztraminer,White
2011,13,Grenache Blanc,White
2011,9,Gruner Veltliner,White
2011,84,Malvasia Bianca,White
2011,0,Marsanne,White
2011,0,Moscato Gaillo,White
2011,257,Muscat Blanc,White
2011,996,Muscat of Alexandria,White
2011,24,Muscat Orange,White
2011,8,Picpoul Blanc,White
2011,7,Pinot Blanc,White
2011,45,Pinot Gris,White
2011,7,Roussanne,White
2011,220,Sauvignon Blanc,White
2011,76,Sauvignon Musque,White
2011,40,Sauvignon Vert,White
2011,12,Semillon,White
2011,0,St. Emilion,White
2011,230,Symphony,White
2011,4,Tocai Friulano,White
2011,0,Triplett Blanc,White
2011,5,Verdelho,White
2011,6,Vermentino,White
2011,11,Viognier,White
2011,55,White Riesling,White
2011,112,Other White Wine,White
2018,0,Aglianico,Red
2018,0,Alicante Bouschet,Red
2018,8,Barbera,Red
2018,33,Cabernet Franc,Red
2018,1784,Cabernet Sauvignon,Red
2018,12,Carignane,Red
2018,0,Carmenere,Red
2018,0,Charbono,Red
2018,3,Cinsaut,Red
2018,6,Counoise,Red
2018,0,Dolcetto,Red
2018,0,Dornfelder,Red
2018,0,Gamay,Red
2018,2,Graciano,Red
2018,61,Grenache,Red
2018,0,Lagrein,Red
2018,17,Malbec,Red
2018,170,Merlot,Red
2018,0,Meunier,Red
2018,50,Mission,Red
2018,0,Montepulciano,Red
2018,26,Mourvedre,Red
2018,0,Muscat Hamburg,Red
2018,0,Nebbiolo,Red
2018,18,Petit Verdot,Red
2018,177,Petite Sirah,Red
2018,882,Pinot Noir,Red
2018,0,Pinotage,Red
2018,14,Primitivo,Red
2018,0,Rubired,Red
2018,0,Ruby Cabernet,Red
2018,6,Sangiovese,Red
2018,0,Souzao,Red
2018,72,Syrah,Red
2018,10,Tannat,Red
2018,6,Tempranillo,Red
2018,15,Teroldego,Red
2018,1,Touriga Nacional,Red
2018,39,Zinfandel,Red
2018,26,Other Red Wine,Red
2018,3,Albarino,White
