varietal,type,bearing,non_bearing,total,bearing_percent,year
Aglianico,red,77,7,84,0.92,2019
Alicante Bouschet,red,884,11,895,0.99,2019
Barbera,red,4865,80,4945,0.98,2019
Cabernet Franc,red,3404,129,3533,0.96,2019
Cabernet Sauvignon,red,87579,5662,93241,0.94,2019
Carignane,red,2360,3,2363,1,2019
Carmenere,red,65,8,72,0.9,2019
Carnelian,red,262,0,262,1,2019
Centurian,red,92,0,92,1,2019
Charbono,red,76,0,76,1,2019
Cinsaut,red,77,6,82,0.94,2019
Counoise,red,51,8,60,0.85,2019
Dolcetto,red,82,4,86,0.95,2019
Dornfelder,red,69,0,69,1,2019
Gamay,red,250,0,250,1,2019
Graciano,red,56,4,60,0.93,2019
Grenache,red,4150,145,4294,0.97,2019
Lagrein,red,57,1,58,0.98,2019
Malbec,red,3665,110,3775,0.97,2019
Merlot,red,38105,483,38587,0.99,2019
Meunier,red,174,1,175,0.99,2019
Mission,red,408,50,458,0.89,2019
Montepulciano,red,92,4,96,0.96,2019
Mourvedre,red,1041,70,1111,0.94,2019
Muscat Hamburg,red,311,0,311,1,2019
Nebbiolo,red,141,4,145,0.97,2019
Petit Verdot,red,3146,307,3453,0.91,2019
Petite Sirah,red,10904,1101,12005,0.91,2019
Pinot Noir,red,44175,2657,46832,0.94,2019
Pinotage,red,52,1,53,0.98,2019
Primitivo,red,1263,84,1347,0.94,2019
Royalty,red,230,0,230,1,2019
Rubired,red,11441,149,11590,0.99,2019
Ruby Cabernet,red,4350,0,4350,1,2019
Sangiovese,red,1575,13,1588,0.99,2019
Souzao,red,92,0,92,1,2019
Syrah,red,15713,191,15904,0.99,2019
Tannat,red,568,69,637,0.89,2019
Tempranillo,red,904,50,953,0.95,2019
Teroldego,red,629,348,978,0.64,2019
Touriga Nacional,red,298,1,299,1,2019
Zinfandel,red,41494,400,41894,0.99,2019
Other Red Wine,red,5721,117,5838,0.98,2019
Albarino,white,289,107,396,0.73,2019
Arneis,white,56,0,56,1,2019
Burger,white,1103,0,1103,1,2019
Catarratto,white,99,0,99,1,2019
Chardonnay,white,90284,2864,93148,0.97,2019
Chenin Blanc,white,4573,68,4641,0.99,2019
French Colombard,white,18206,40,18246,1,2019
Gewurztraminer,white,1665,50,1715,0.97,2019
Grenache Blanc,white,298,20,319,0.93,2019
Gruner Veltliner,white,167,18,185,0.9,2019
Malvasia Bianca,white,1061,2,1063,1,2019
Marsanne,white,119,1,120,0.99,2019
Moscato Gaillo,white,151,0,151,1,2019
Muscat Blanc,white,2987,2,2989,1,2019
Muscat of Alexandria,white,4445,1,4446,1,2019
Muscat Orange,white,334,11,345,0.97,2019
Palomino,white,145,0,145,1,2019
Picpoul Blanc,white,38,15,53,0.72,2019
Pinot Blanc,white,277,3,280,0.99,2019
Pinot Gris,white,15391,1537,16928,0.91,2019
Roussanne,white,318,5,322,0.99,2019
Sauvignon Blanc,white,14163,1052,15215,0.93,2019
Sauvignon Musque,white,339,6,345,0.98,2019
Sauvignon Vert,white,51,0,51,1,2019
Semillon,white,546,13,559,0.98,2019
St. Emilion,white,100,2,102,0.98,2019
Symphony,white,1484,8,1492,0.99,2019
Tocai Friulano,white,51,0,51,1,2019
Triplett Blanc,white,761,0,761,1,2019
Verdelho,white,146,3,148,0.99,2019
Vermentino,white,89,14,103,0.86,2019
Viognier,white,2627,29,2655,0.99,2019
White Riesling,white,3953,9,3962,1,2019
Other White Wine,white,3834,68,3902,0.98,2019
