Varietal,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albarino,White,19,2,5,18,10,35,72,3,57
Arneis,White,0,2,0,1,0,0,0,0,0
Burger,White,0,0,0,0,0,0,0,0,0
Catarratto,White,0,0,0,0,0,0,0,0,0
Chardonnay,White,1039,1183,1969,2212,949,1063,877,1122,955
Chenin Blanc,White,83,68,27,322,10,54,2,17,23
French Colombard,White,515,2006,905,304,5,35,5,0,114
Gewurztraminer,White,139,233,2,7,3,0,0,50,16
Grenache Blanc,White,13,12,30,54,21,7,14,1,259
Gruner Veltliner,White,9,4,2,0,0,17,0,1,1
Malvasia Bianca,White,84,1,4,0,0,2,0,0,0
Marsanne,White,0,3,4,5,1,1,5,0,1
Moscato Gaillo,White,0,150,0,0,0,0,0,0,0
Muscat Blanc,White,257,536,304,50,5,2,0,0,82
Muscat of Alexandria,White,996,527,247,2,0,1,0,0,0
Muscat Orange,White,24,73,8,3,0,11,0,0,0
Palomino,White,0,0,0,0,0,0,0,0,0
Picpoul Blanc,White,8,3,2,1,4,5,6,4,0
Pinot Blanc,White,7,3,0,0,45,3,0,0,6
Pinot Gris,White,45,188,727,1628,1295,600,666,448,25
Roussanne,White,7,5,4,10,5,4,1,0,1
Sauvignon Blanc,White,220,279,133,154,301,277,618,434,230
Sauvignon Musque,White,76,1,0,0,4,3,3,1,1
Sauvignon Vert,White,40,0,1,0,0,0,0,0,0
Semillon,White,12,2,4,4,1,5,8,6,2
St. Emilion,White,0,3,0,0,1,0,3,0,0
Symphony,White,230,0,0,0,0,8,0,0,0
Tocai Friulano,White,4,0,0,0,1,0,0,0,0
Triplett Blanc,White,0,0,4,0,0,0,0,0,0
Verdelho,White,5,16,3,35,0,2,0,0,0
Vermentino,White,6,13,13,22,7,4,1,9,6
Viognier,White,11,24,21,42,3,13,3,14,3
White Riesling,White,55,342,238,32,65,6,2,1,2
Other White Wine,White,112,12,48,17,23,14,41,11,94
