County,Total Pcp,Year
Alameda,14.53,2011
Alameda,20.78,2012
Alameda,5.08,2013
Alameda,19.88,2014
Alameda,10.39,2015
Alameda,22.55,2016
Alameda,24.97,2017
Alameda,16.57,2018
Alameda,22.29,2019
Alpine,33.58,2011
Alpine,35.65,2012
Alpine,13.55,2013
Alpine,29.38,2014
Alpine,30.36,2015
Alpine,39.63,2016
Alpine,64.24,2017
Alpine,32.2,2018
Alpine,47.21,2019
Amador,33.13,2011
Amador,40.6,2012
Amador,12.25,2013
Amador,31.29,2014
Amador,26.66,2015
Amador,41.01,2016
Amador,55.94,2017
Amador,34.04,2018
Amador,48.65,2019
Butte,38.73,2011
Butte,53.46,2012
Butte,12.19,2013
Butte,43.72,2014
Butte,20.74,2015
Butte,55.96,2016
Butte,56.41,2017
Butte,34.51,2018
Butte,60.1,2019
Calaveras,32.11,2011
Calaveras,37.79,2012
Calaveras,11.14,2013
Calaveras,29.56,2014
Calaveras,25.26,2015
Calaveras,40.49,2016
Calaveras,51.55,2017
Calaveras,32.63,2018
Calaveras,48.25,2019
Colusa,22.35,2011
Colusa,29.95,2012
Colusa,8.22,2013
Colusa,28.67,2014
Colusa,11.92,2015
Colusa,25.49,2016
Colusa,27.44,2017
Colusa,18.08,2018
Colusa,32.89,2019
Contra Costa,15.69,2011
Contra Costa,23.25,2012
Contra Costa,5.27,2013
Contra Costa,21.07,2014
Contra Costa,9.28,2015
Contra Costa,22.55,2016
Contra Costa,26.84,2017
Contra Costa,17.52,2018
Contra Costa,23.29,2019
Del Norte,67.35,2011
Del Norte,102.62,2012
Del Norte,35,2013
Del Norte,67.16,2014
Del Norte,69.35,2015
Del Norte,97.59,2016
Del Norte,92.56,2017
Del Norte,54.46,2018
Del Norte,79.65,2019
El Dorado,41.67,2011
El Dorado,52.88,2012
El Dorado,16.06,2013
El Dorado,39.91,2014
El Dorado,32.49,2015
El Dorado,53.14,2016
El Dorado,73.52,2017
El Dorado,40.29,2018
El Dorado,60.52,2019
Fresno,17.62,2011
Fresno,16.34,2012
Fresno,5.29,2013
Fresno,12.44,2014
Fresno,12.23,2015
Fresno,19.6,2016
Fresno,27.16,2017
Fresno,16.87,2018
Fresno,25.12,2019
Glenn,22.55,2011
Glenn,28.93,2012
Glenn,7.59,2013
Glenn,31.68,2014
Glenn,12.36,2015
Glenn,29.61,2016
Glenn,28.56,2017
Glenn,18.95,2018
Glenn,39.12,2019
Humboldt,51.17,2011
Humboldt,74.5,2012
Humboldt,21.3,2013
Humboldt,54.59,2014
Humboldt,50.55,2015
Humboldt,79.86,2016
Humboldt,76.72,2017
Humboldt,48.62,2018
Humboldt,71.48,2019
Imperial,2.53,2011
Imperial,2.48,2012
Imperial,3.6,2013
Imperial,2.06,2014
Imperial,2.21,2015
Imperial,3.06,2016
Imperial,2.82,2017
Imperial,2.07,2018
Imperial,3.76,2019
Inyo,3.92,2011
Inyo,4.06,2012
Inyo,3.52,2013
Inyo,4.68,2014
Inyo,5.17,2015
Inyo,4.91,2016
Inyo,7.68,2017
Inyo,4.52,2018
Inyo,10,2019
Kern,6.71,2011
Kern,5.81,2012
Kern,3.6,2013
Kern,6.17,2014
Kern,5.56,2015
Kern,9.21,2016
Kern,9.68,2017
Kern,7.03,2018
Kern,13.32,2019
Kings,6.98,2011
Kings,5.6,2012
Kings,2.37,2013
