,County,PCP,Year,Month
0,Alameda County,1.04,2011,Jan
1,Alameda County,3.47,2011,Feb
2,Alameda County,5.65,2011,Mar
3,Alameda County,0.26,2011,Apr
4,Alameda County,0.81,2011,May
5,Alameda County,0.71,2011,Jun
6,Alameda County,0.01,2011,Jul
7,Alameda County,0.0,2011,Aug
8,Alameda County,0.0,2011,Sep
9,Alameda County,1.32,2011,Oct
10,Alameda County,1.15,2011,Noc
11,Alameda County,0.11,2011,Dec
12,Alameda County,2.08,2012,Jan
13,Alameda County,0.84,2012,Feb
14,Alameda County,4.4,2012,Mar
15,Alameda County,2.73,2012,Apr
16,Alameda County,0.03,2012,May
17,Alameda County,0.14,2012,Jun
18,Alameda County,0.01,2012,Jul
19,Alameda County,0.0,2012,Aug
20,Alameda County,0.0,2012,Sep
21,Alameda County,0.79,2012,Oct
22,Alameda County,3.95,2012,Noc
23,Alameda County,5.81,2012,Dec
24,Alameda County,0.81,2013,Jan
25,Alameda County,0.47,2013,Feb
26,Alameda County,0.63,2013,Mar
27,Alameda County,0.69,2013,Apr
28,Alameda County,0.07,2013,May
29,Alameda County,0.12,2013,Jun
30,Alameda County,0.0,2013,Jul
31,Alameda County,0.0,2013,Aug
32,Alameda County,0.54,2013,Sep
33,Alameda County,0.01,2013,Oct
34,Alameda County,1.31,2013,Noc
35,Alameda County,0.43,2013,Dec
36,Alameda County,0.11,2014,Jan
37,Alameda County,3.83,2014,Feb
38,Alameda County,2.02,2014,Mar
39,Alameda County,1.36,2014,Apr
40,Alameda County,0.02,2014,May
41,Alameda County,0.01,2014,Jun
42,Alameda County,0.01,2014,Jul
43,Alameda County,0.01,2014,Aug
44,Alameda County,0.39,2014,Sep
45,Alameda County,0.47,2014,Oct
46,Alameda County,1.75,2014,Noc
47,Alameda County,9.9,2014,Dec
48,Alameda County,0.01,2015,Jan
49,Alameda County,2.25,2015,Feb
50,Alameda County,0.26,2015,Mar
51,Alameda County,1.15,2015,Apr
52,Alameda County,0.37,2015,May
53,Alameda County,0.27,2015,Jun
54,Alameda County,0.01,2015,Jul
55,Alameda County,0.02,2015,Aug
56,Alameda County,0.04,2015,Sep
57,Alameda County,0.08,2015,Oct
58,Alameda County,2.41,2015,Noc
59,Alameda County,3.52,2015,Dec
60,Alameda County,5.65,2016,Jan
61,Alameda County,0.84,2016,Feb
62,Alameda County,5.25,2016,Mar
63,Alameda County,1.94,2016,Apr
64,Alameda County,0.24,2016,May
65,Alameda County,0.0,2016,Jun
66,Alameda County,0.0,2016,Jul
67,Alameda County,0.0,2016,Aug
68,Alameda County,0.0,2016,Sep
69,Alameda County,3.65,2016,Oct
70,Alameda County,1.48,2016,Noc
71,Alameda County,3.5,2016,Dec
72,Alameda County,9.38,2017,Jan
73,Alameda County,7.41,2017,Feb
74,Alameda County,2.65,2017,Mar
75,Alameda County,2.5,2017,Apr
76,Alameda County,0.03,2017,May
77,Alameda County,0.04,2017,Jun
78,Alameda County,0.0,2017,Jul
79,Alameda County,0.01,2017,Aug
80,Alameda County,0.06,2017,Sep
81,Alameda County,0.21,2017,Oct
82,Alameda County,2.58,2017,Noc
83,Alameda County,0.1,2017,Dec
84,Alameda County,4.28,2018,Jan
85,Alameda County,0.57,2018,Feb
86,Alameda County,4.39,2018,Mar
87,Alameda County,2.44,2018,Apr
88,Alameda County,0.02,2018,May
89,Alameda County,0.0,2018,Jun
90,Alameda County,0.0,2018,Jul
91,Alameda County,0.0,2018,Aug
92,Alameda County,0.0,2018,Sep
93,Alameda County,0.14,2018,Oct
94,Alameda County,2.71,2018,Noc
95,Alameda County,2.02,2018,Dec
96,Alameda County,3.73,2019,Jan
97,Alameda County,6.83,2019,Feb
98,Alameda County,4.11,2019,Mar
99,Alameda County,0.47,2019,Apr
100,Alameda County,2.25,2019,May
101,Alameda County,0.0,2019,Jun
102,Alameda County,0.0,2019,Jul
103,Alameda County,0.0,2019,Aug
104,Alameda County,0.19,2019,Sep
105,Alameda County,0.0,2019,Oct
106,Alameda County,1.09,2019,Noc
107,Alameda County,3.62,2019,Dec
108,Alameda County,1.54,2020,Jan
109,Alameda County,0.0,2020,Feb
110,Alameda County,2.62,2020,Mar
111,Alameda County,1.53,2020,Apr
112,Alameda County,0.62,2020,May
113,Alameda County,0.0,2020,Jun
114,Alameda County,0.0,2020,Jul
115,Alameda County,0.07,2020,Aug
116,Alameda County,0.0,2020,Sep
117,Alameda County,0.0,2020,Oct
118,Alpine County,1.69,2011,Jan
119,Alpine County,6.5,2011,Feb
120,Alpine County,11.59,2011,Mar
121,Alpine County,2.35,2011,Apr
122,Alpine County,2.61,2011,May
123,Alpine County,3.42,2011,Jun
124,Alpine County,0.75,2011,Jul
125,Alpine County,0.11,2011,Aug
126,Alpine County,1.17,2011,Sep
127,Alpine County,1.97,2011,Oct
128,Alpine County,1.38,2011,Noc
129,Alpine County,0.04,2011,Dec
130,Alpine County,4.98,2012,Jan
131,Alpine County,1.82,2012,Feb
132,Alpine County,4.82,2012,Mar
133,Alpine County,2.34,2012,Apr
134,Alpine County,0.38,2012,May
