,County,Temp,Year,Month
0,Alameda County,48.2,2011,Jan
1,Alameda County,48.0,2011,Feb
2,Alameda County,51.7,2011,Mar
3,Alameda County,54.7,2011,Apr
4,Alameda County,57.6,2011,May
5,Alameda County,64.2,2011,Jun
6,Alameda County,69.1,2011,Jul
7,Alameda County,69.0,2011,Aug
8,Alameda County,70.1,2011,Sep
9,Alameda County,63.2,2011,Oct
10,Alameda County,51.7,2011,Noc
11,Alameda County,47.6,2011,Dec
12,Alameda County,49.4,2012,Jan
13,Alameda County,50.9,2012,Feb
14,Alameda County,51.2,2012,Mar
15,Alameda County,56.8,2012,Apr
16,Alameda County,62.0,2012,May
17,Alameda County,66.0,2012,Jun
18,Alameda County,69.2,2012,Jul
19,Alameda County,71.0,2012,Aug
20,Alameda County,68.1,2012,Sep
21,Alameda County,63.2,2012,Oct
22,Alameda County,55.6,2012,Noc
23,Alameda County,47.7,2012,Dec
24,Alameda County,45.8,2013,Jan
25,Alameda County,48.8,2013,Feb
26,Alameda County,55.2,2013,Mar
27,Alameda County,60.0,2013,Apr
28,Alameda County,63.0,2013,May
29,Alameda County,68.3,2013,Jun
30,Alameda County,71.1,2013,Jul
31,Alameda County,69.8,2013,Aug
32,Alameda County,68.1,2013,Sep
33,Alameda County,61.3,2013,Oct
34,Alameda County,55.2,2013,Noc
35,Alameda County,47.0,2013,Dec
36,Alameda County,53.2,2014,Jan
37,Alameda County,52.5,2014,Feb
38,Alameda County,56.9,2014,Mar
39,Alameda County,58.8,2014,Apr
40,Alameda County,64.7,2014,May
41,Alameda County,68.1,2014,Jun
42,Alameda County,72.7,2014,Jul
43,Alameda County,70.9,2014,Aug
44,Alameda County,70.0,2014,Sep
45,Alameda County,66.2,2014,Oct
46,Alameda County,56.7,2014,Noc
47,Alameda County,52.7,2014,Dec
48,Alameda County,51.2,2015,Jan
49,Alameda County,55.7,2015,Feb
50,Alameda County,59.1,2015,Mar
51,Alameda County,58.0,2015,Apr
52,Alameda County,59.2,2015,May
53,Alameda County,69.4,2015,Jun
54,Alameda County,71.6,2015,Jul
55,Alameda County,71.7,2015,Aug
56,Alameda County,71.2,2015,Sep
57,Alameda County,67.3,2015,Oct
58,Alameda County,51.2,2015,Noc
59,Alameda County,47.0,2015,Dec
60,Alameda County,50.0,2016,Jan
61,Alameda County,55.2,2016,Feb
62,Alameda County,55.1,2016,Mar
63,Alameda County,59.1,2016,Apr
64,Alameda County,62.8,2016,May
65,Alameda County,69.4,2016,Jun
66,Alameda County,70.5,2016,Jul
67,Alameda County,69.6,2016,Aug
68,Alameda County,68.4,2016,Sep
69,Alameda County,61.7,2016,Oct
70,Alameda County,55.3,2016,Noc
71,Alameda County,47.3,2016,Dec
72,Alameda County,46.5,2017,Jan
73,Alameda County,51.0,2017,Feb
74,Alameda County,55.5,2017,Mar
75,Alameda County,56.8,2017,Apr
76,Alameda County,62.9,2017,May
77,Alameda County,68.5,2017,Jun
78,Alameda County,73.0,2017,Jul
79,Alameda County,72.1,2017,Aug
80,Alameda County,70.9,2017,Sep
81,Alameda County,63.9,2017,Oct
82,Alameda County,55.2,2017,Noc
83,Alameda County,49.7,2017,Dec
84,Alameda County,51.1,2018,Jan
85,Alameda County,51.5,2018,Feb
86,Alameda County,51.9,2018,Mar
87,Alameda County,56.8,2018,Apr
88,Alameda County,60.3,2018,May
89,Alameda County,67.4,2018,Jun
90,Alameda County,72.6,2018,Jul
91,Alameda County,69.8,2018,Aug
92,Alameda County,67.4,2018,Sep
93,Alameda County,63.7,2018,Oct
94,Alameda County,56.0,2018,Noc
95,Alameda County,49.2,2018,Dec
96,Alameda County,50.7,2019,Jan
97,Alameda County,46.2,2019,Feb
98,Alameda County,51.8,2019,Mar
99,Alameda County,59.2,2019,Apr
100,Alameda County,58.7,2019,May
