Year,Days Ozone,County
2011,137,Alameda
2011,0,Alpine
2011,363,Amador
2011,180,Butte
2011,246,Calaveras
2011,221,Colusa
2011,261,Contra Costa
2011,0,Del Norte
2011,352,El Dorado
2011,192,Fresno
2011,225,Glenn
2011,214,Humboldt
2011,233,Imperial
2011,280,Inyo
2011,216,Kern
2011,200,Kings
2011,364,Lake
2011,162,Los Angeles
2011,143,Madera
2011,113,Marin
2011,296,Mariposa
2011,31,Mendocino
2011,179,Merced
2011,0,Mono
2011,262,Monterey
2011,154,Napa
2011,342,Nevada
2011,79,Orange
2011,240,Placer
2011,0,Plumas
2011,184,Riverside
2011,224,Sacramento
2011,314,San Benito
2011,216,San Bernardino
2011,137,San Diego
2011,124,San Francisco
2011,206,San Joaquin
2011,197,San Luis Obispo
2011,158,San Mateo
2011,182,Santa Barbara
2011,95,Santa Clara
2011,244,Santa Cruz
2011,353,Shasta
2011,338,Siskiyou
2011,212,Solano
2011,174,Sonoma
2011,194,Stanislaus
2011,144,Sutter
2011,220,Tehama
2011,0,Trinity
2011,208,Tulare
2011,355,Tuolumne
2011,333,Ventura
2011,164,Yolo
2012,180,Alameda
2012,0,Alpine
2012,363,Amador
2012,230,Butte
2012,281,Calaveras
2012,106,Colusa
2012,293,Contra Costa
2012,0,Del Norte
2012,366,El Dorado
2012,222,Fresno
2012,267,Glenn
2012,205,Humboldt
2012,229,Imperial
2012,280,Inyo
2012,218,Kern
2012,210,Kings
2012,360,Lake
2012,176,Los Angeles
2012,210,Madera
2012,152,Marin
2012,305,Mariposa
2012,203,Mendocino
2012,236,Merced
2012,0,Mono
2012,246,Monterey
2012,198,Napa
2012,353,Nevada
2012,112,Orange
2012,260,Placer
2012,0,Plumas
2012,185,Riverside
2012,264,Sacramento
2012,348,San Benito
2012,227,San Bernardino
2012,147,San Diego
2012,140,San Francisco
2012,195,San Joaquin
2012,245,San Luis Obispo
2012,141,San Mateo
2012,274,Santa Barbara
2012,168,Santa Clara
2012,293,Santa Cruz
2012,356,Shasta
2012,345,Siskiyou
2012,231,Solano
2012,205,Sonoma
2012,202,Stanislaus
2012,232,Sutter
2012,282,Tehama
2012,0,Trinity
2012,243,Tulare
2012,364,Tuolumne
2012,247,Ventura
2012,256,Yolo
2013,83,Alameda
2013,0,Alpine
2013,365,Amador
2013,221,Butte
2013,229,Calaveras
2013,151,Colusa
2013,119,Contra Costa
2013,0,Del Norte
2013,362,El Dorado
2013,215,Fresno
2013,207,Glenn
2013,144,Humboldt
2013,198,Imperial
2013,286,Inyo
2013,177,Kern
2013,198,Kings
2013,362,Lake
2013,176,Los Angeles
2013,191,Madera
2013,80,Marin
2013,289,Mariposa
2013,54,Mendocino
2013,198,Merced
2013,0,Mono
2013,219,Monterey
2013,129,Napa
2013,337,Nevada
2013,101,Orange
2013,211,Placer
2013,0,Plumas
2013,198,Riverside
2013,220,Sacramento
2013,321,San Benito
2013,229,San Bernardino
2013,152,San Diego
2013,85,San Francisco
2013,88,San Joaquin
2013,174,San Luis Obispo
2013,116,San Mateo
2013,254,Santa Barbara
2013,154,Santa Clara
2013,242,Santa Cruz
2013,351,Shasta
2013,338,Siskiyou
2013,180,Solano
2013,218,Sonoma
2013,218,Stanislaus
2013,233,Sutter
2013,297,Tehama
2013,0,Trinity
2013,220,Tulare
2013,364,Tuolumne
2013,234,Ventura
2013,277,Yolo
2014,155,Alameda
2014,0,Alpine
2014,359,Amador
2014,228,Butte
2014,279,Calaveras
2014,159,Colusa
2014,172,Contra Costa
2014,0,Del Norte
2014,355,El Dorado
2014,231,Fresno
2014,259,Glenn
2014,89,Humboldt
2014,109,Imperial
2014,294,Inyo
2014,230,Kern
2014,204,Kings
2014,352,Lake
2014,170,Los Angeles
2014,221,Madera
2014,59,Marin
2014,305,Mariposa
2014,166,Mendocino
2014,250,Merced
2014,0,Mono
2014,263,Monterey
2014,74,Napa
2014,358,Nevada
2014,69,Orange
2014,244,Placer
2014,0,Plumas
2014,205,Riverside
2014,247,Sacramento
2014,345,San Benito
2014,214,San Bernardino
2014,208,San Diego
2014,136,San Francisco
2014,224,San Joaquin
2014,179,San Luis Obispo
2014,185,San Mateo
2014,247,Santa Barbara
2014,200,Santa Clara
2014,244,Santa Cruz
2014,354,Shasta
2014,347,Siskiyou
2014,172,Solano
2014,227,Sonoma
2014,248,Stanislaus
2014,200,Sutter
2014,330,Tehama
2014,0,Trinity
2014,223,Tulare
2014,334,Tuolumne
2014,237,Ventura
2014,242,Yolo
2015,180,Alameda
2015,0,Alpine
2015,364,Amador
2015,237,Butte
2015,274,Calaveras
2015,154,Colusa
2015,213,Contra Costa
2015,0,Del Norte
2015,350,El Dorado
2015,227,Fresno
2015,243,Glenn
2015,183,Humboldt
2015,147,Imperial
2015,286,Inyo
2015,231,Kern
2015,197,Kings
2015,361,Lake
2015,189,Los Angeles
2015,223,Madera
2015,178,Marin
2015,327,Mariposa
2015,136,Mendocino
2015,217,Merced
2015,0,Mono
2015,258,Monterey
2015,145,Napa
2015,356,Nevada
2015,128,Orange
2015,267,Placer
2015,0,Plumas
2015,194,Riverside
2015,193,Sacramento
2015,341,San Benito
2015,202,San Bernardino
2015,208,San Diego
2015,164,San Francisco
2015,170,San Joaquin
2015,191,San Luis Obispo
2015,230,San Mateo
2015,251,Santa Barbara
2015,187,Santa Clara
2015,254,Santa Cruz
2015,354,Shasta
2015,343,Siskiyou
2015,201,Solano
2015,267,Sonoma
2015,202,Stanislaus
2015,233,Sutter
2015,311,Tehama
2015,0,Trinity
2015,206,Tulare
2015,364,Tuolumne
2015,226,Ventura
2015,230,Yolo
2016,214,Alameda
2016,0,Alpine
2016,366,Amador
2016,199,Butte
2016,280,Calaveras
2016,248,Colusa
2016,223,Contra Costa
2016,0,Del Norte
2016,365,El Dorado
2016,217,Fresno
2016,210,Glenn
2016,229,Humboldt
2016,144,Imperial
2016,313,Inyo
2016,231,Kern
