County,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Alameda County,48.2,48,51.7,54.7,57.6,64.2,69.1,69,70.1,63.2,51.7,47.6,49.4,50.9,51.2,56.8,62,66,69.2,71,68.1,63.2,55.6,47.7,45.8,48.8,55.2,60,63,68.3,71.1,69.8,68.1,61.3,55.2,47,53.2,52.5,56.9,58.8,64.7,68.1,72.7,70.9,70,66.2,56.7,52.7,51.2,55.7,59.1,58,59.2,69.4,71.6,71.7,71.2,67.3,51.2,47,50,55.2,55.2,59.1,62.8,69.4,70.5,69.6,68.4,61.7,55.3,47.3,46.5,51,55.5,56.8,62.9,68.5,73,72.1,70.9,63.9,55.2,49.7,51.1,51.5,51.9,56.8,60.3,67.4,72.6,69.8,67.4,63.7,56,49.2,50.7,46.2,51.8,59.2,58.7,68.9,70.4,72.7,68.7,62.2,55.9,50
Alpine County,33.8,27.6,33,36.4,40.6,50,58.7,60.1,57.8,46.7,36.4,31.2,35.6,31.6,34.2,40.3,47.6,54.4,61.7,63.9,59.1,48,38.8,26,29,30.6,38.5,41.6,46.3,57.2,64,59.5,54.4,43.9,38.7,31.5,37.6,35.5,37.1,41.4,47.8,56.6,64.3,59.9,56.9,50.6,40.6,33.3,38.1,40.1,41.6,40.4,46.1,59.3,59.1,61.9,58,50.1,32.5,29,31.3,38.1,38.1,41.9,45.9,58.3,62.5,62.7,55.4,45.9,39.8,31.6,28.5,31.5,38,38.4,47.6,56.5,64.3,62.9,52.8,46.9,40.5,36.9,37.1,30.5,32.1,40.9,47.8,57.2,65.9,62.8,57.2,45.6,39.8,31.7,33.4,24.9,32.4,42,43.3,54.2,60.6,62.5,52.8,43.6,40,31.9
Amador County,45,43.3,46.4,51,55,63.9,71.6,72.8,72,59.9,48.4,44.3,47.4,46.3,46.7,53.6,62.1,67.3,74.1,77.6,73.4,60.8,51.7,41,42.9,45.5,53.1,57.9,62.5,70.9,77.6,73.3,67.3,59.7,53.1,45.8,52.1,48.6,52.8,56.8,63.3,71.7,77.8,74.5,70.9,64.4,52.8,45.7,50.2,53.6,57.1,55.6,59.7,74.2,74.3,74.6,71.6,65.2,46.4,41.7,43.8,52.8,52.8,56.4,61.1,72.3,75.7,75.7,69.2,58.1,51.8,43.1,40.9,45.4,51.8,52.9,62.8,71.4,78.9,77.9,68.9,62.4,51.6,49.2,48.6,46.5,47.4,54.6,61.4,71.2,79.8,75.5,70.9,62,54.2,44.6,46.7,39.2,47.6,57.1,56.8,70.9,74.6,75.9,67,60,54.3,44.7
Butte County,45.4,45.3,48.1,53.9,58,67,74.4,75,74.6,61.4,48.8,46.2,47,48,47.6,55.5,64.8,69.4,75.4,77.9,74.1,62.3,52.5,43.5,43.9,47.8,54.2,60,65.3,72.8,78.5,74.2,68.5,60.3,54,45.8,52.6,49.9,54.1,59,66.6,73.8,79.2,75.7,73,64.5,53.1,47.7,50.3,54.1,58.2,58.4,63.5,76.6,77,75.5,72.2,66.4,48.4,42.8,45.4,53.1,53.1,59.9,65.1,73.2,76.9,76.2,71.7,59.3,52.2,44,43.1,47.8,53.3,54.5,66.7,74.1,80,79.2,71.9,63.1,51.4,48.6,48.8,48.4,49.5,56.8,65.2,73.1,80.7,75.4,71.4,63.7,53.2,46.2,48,42.2,49.8,60.3,61.2,74.1,76.6,77.5,69.8,60.3,55.3,46.7
Calaveras County,44.8,43.6,46.6,51.8,55.2,64.6,72.6,73.5,72.8,60.6,48.6,43.6,47.4,46.7,47.2,54.3,62.7,67.7,74.5,78.1,73.8,61.5,51.9,41.9,42.9,45.4,53.6,58.3,62.7,71.1,78,73.5,68.1,59.6,53,45.4,51.7,49,53.1,56.8,63.4,71.6,78.1,74.9,71.4,64.6,52.9,46.1,50.1,54,57.3,56.1,60,74.3,75,75.2,72.2,65.3,46.8,41.5,44.2,52.6,52.6,56.9,61.3,72.1,75.9,75.8,69.5,58.9,52.4,43.5,41.7,46.3,52.2,53.4,63.3,71.6,78.8,77.9,69.8,62.6,52.4,49.9,49.5,47,47.2,55.4,61.8,71.2,80,75.5,71,62.3,54.5,44.7,47,40.3,47.9,57.3,57.2,71.1,74.8,76,67.8,60.2,54.6,45.2
Colusa County,46.8,47.5,50.2,56.6,61.3,70.6,76.2,75.6,75.5,63.2,50.4,45.9,47.7,50.2,50.2,58,67.5,72,76.6,78.9,74.4,64.2,54.1,45.5,45.5,49.6,55.5,62.7,67.6,74.6,79.6,75.7,70.9,62.2,55.3,46,53.3,51.8,56.5,61.6,69.2,76.5,80.3,77.3,74.1,66.8,54.6,50.6,50.8,55.8,60.2,61,65.6,78,78.8,77.3,74,68.8,50.6,45.6,47.3,54.8,54.8,61.6,67.5,75.2,78.1,77.8,73.2,61.3,53.9,44.8,44.9,50.1,55.2,57.2,68.4,76,80.7,81.2,74.3,64.4,53,49.3,49,51.5,51.4,59,67.2,74.8,81.5,76.3,71.9,64.9,55.2,47,48.4,44.3,51.2,62.4,63.4,76.2,77.6,79,71.3,62.5,56.9,47.1
Contra Costa County,47.5,48.6,51.9,55.7,59,65.7,70.2,70.7,71.6,63.9,51.8,47.6,49.3,51.3,51.5,57.7,64,67.5,70.4,73.2,70.5,63.8,55.5,47.2,45.9,50.4,56.4,61.9,64.8,70,72.5,70.8,68.5,62.9,56.2,48.3,54.4,53.2,57.7,60.2,66.2,70.1,73.4,71.3,70.4,67.4,56.8,51.7,51.4,56.7,60.8,59.7,60.1,71.3,72.1,72.3,72.3,68.3,51.9,47,49.1,56.3,56.3,60.5,64.1,71.4,72.2,70.7,69.8,62,55.4,46.8,45.9,51.6,56.6,57.9,64.6,70.7,75.3,73.7,71.5,65.2,55,50.4,50.6,52.9,52.7,57.9,61.4,69.6,74.7,71.2,69.4,65.1,57.4,49.1,50.2,46.1,52.7,60.9,59.4,70.8,71.7,73.8,69.8,63.9,57.4,49.4
Del Norte County,43.6,41,43.3,44.9,50.2,58.2,64.7,66.8,64.2,54.7,43.9,39.8,42.3,41.3,41.1,47.7,53.5,56.6,64.7,68,65.4,54.7,47.2,38.7,40.7,42.2,46.8,50.9,55,61.8,70.7,65.4,60,53.2,47,40.7,45.8,44.2,47.2,50.8,56.1,61.1,70.1,68.8,65.1,57,48.5,44.4,47.7,48.4,50.6,49.3,55.6,67.1,68.2,65.7,61.4,58.8,43.7,39.9,40.9,46.1,46.1,52.4,56.8,61.8,65.2,68.7,61.8,50.4,47.2,37.7,37.7,40.7,45.1,45.6,55.7,60.7,68.2,70.8,62.3,54.4,44.5,43.6,43.9,41.6,43.8,48.2,56,60.4,69.2,66.2,61.2,55.7,48.4,40.7,44.2,35.3,44.6,51,54.9,62.6,64.4,67.3,58.5,51.5,49.5,41.8
El Dorado County,42.8,38.8,41.7,46.4,50.6,59.4,68,69.5,68.2,56.3,45.1,41.5,44.2,42.2,42.5,49.5,57.6,63.2,70.6,73.9,69.3,57.5,48.2,37.7,39.4,41.3,48.3,52.6,57.6,66.6,73.9,69.8,64,55.1,49,41.8,48.1,44.5,47.5,51.8,58.4,66.6,74.5,70.5,66.9,59.9,49,42.3,47.2,49.4,51.9,50.8,55.7,69.7,70.5,71.3,67.8,61,42.5,38.2,40.6,48,48,52.1,56.6,67.6,71.8,72.2,65.5,54.3,47.9,40.1,38.1,41.2,47.2,48.1,58.2,66.9,74.5,74.1,64.8,57.5,47.9,45.4,45.3,41.5,42.2,50,57.2,66.5,75.8,71.7,66.8,57.2,49.6,41.1,43.3,34.5,42.4,52.2,52.7,66.1,70.6,72.1,63,54.8,50,41.2
Fresno County,41.2,40.5,45.1,50,54.2,63.8,71.5,72.2,69.7,58.5,45.4,39.4,43.6,43.4,46.2,52.3,60.9,66.7,72.4,75.9,70.9,58.7,49.5,40.1,39.4,42,51,55.8,60.8,70.1,76.4,71.8,66.6,56.1,49.8,41.2,47.6,47,51.1,55.1,62,70,76.1,72.9,69.8,62.1,50.3,44.2,44.2,49.9,54.4,53.8,57.6,71.8,72.5,73.2,69.3,61.8,44.3,38.7,41.9,48.2,48.2,54.6,59.5,71.2,74.6,73.5,66.7,57.3,50.3,40.8,39.7,44.3,49.2,51.9,60.2,70,76.6,75.6,67.2,58.3,50.9,44.2,45.9,43.8,45.5,54,59.6,68.8,77.6,73.4,68.6,58.1,50.7,42.3,43.7,38.3,45.8,55.6,54.8,69.1,73.3,74.1,66.5,56.1,50.6,42.5
