County,Temp,Year,Total Pcp
Alameda,57.9,2011,14.53
Alameda,59.3,2012,20.78
Alameda,59.5,2013,5.08
Alameda,62,2014,19.88
Alameda,61.1,2015,10.39
Alameda,60.4,2016,22.55
Alameda,60.5,2017,24.97
Alameda,59.8,2018,16.57
Alameda,59.6,2019,22.29
Alpine,42.7,2011,33.58
Alpine,45.1,2012,35.65
Alpine,44.6,2013,13.55
Alpine,46.8,2014,29.38
Alpine,46.4,2015,30.36
Alpine,45.9,2016,39.63
Alpine,45.4,2017,64.24
Alpine,45.7,2018,32.2
Alpine,43.5,2019,47.21
Amador,56.1,2011,33.13
Amador,58.5,2012,40.6
Amador,59.1,2013,12.25
Amador,61,2014,31.29
Amador,60.4,2015,26.66
Amador,59.2,2016,41.01
Amador,59.5,2017,55.94
Amador,59.7,2018,34.04
Amador,57.9,2019,48.65
Butte,58.2,2011,38.73
Butte,59.8,2012,53.46
Butte,60.4,2013,12.19
Butte,62.4,2014,43.72
Butte,62,2015,20.74
Butte,60.8,2016,55.96
Butte,61.1,2017,56.41
Butte,61,2018,34.51
Butte,60.2,2019,60.1
Calaveras,56.5,2011,32.11
Calaveras,59,2012,37.79
Calaveras,59.3,2013,11.14
Calaveras,61.1,2014,29.56
Calaveras,60.7,2015,25.26
Calaveras,59.5,2016,40.49
Calaveras,60,2017,51.55
Calaveras,60,2018,32.63
Calaveras,58.3,2019,48.25
Colusa,60,2011,22.35
Colusa,61.6,2012,29.95
Colusa,62.1,2013,8.22
Colusa,64.4,2014,28.67
Colusa,63.9,2015,11.92
Colusa,62.5,2016,25.49
Colusa,62.9,2017,27.44
Colusa,62.5,2018,18.08
Colusa,61.7,2019,32.89
Contra Costa,58.7,2011,15.69
Contra Costa,60.2,2012,23.25
Contra Costa,60.7,2013,5.27
Contra Costa,62.7,2014,21.07
Contra Costa,62,2015,9.28
Contra Costa,61.2,2016,22.55
Contra Costa,61.5,2017,26.84
Contra Costa,61,2018,17.52
Contra Costa,60.5,2019,23.29
Del Norte,51.3,2011,67.35
Del Norte,51.8,2012,102.62
Del Norte,52.9,2013,35
Del Norte,54.9,2014,67.16
Del Norte,54.7,2015,69.35
Del Norte,52.9,2016,97.59
Del Norte,52.4,2017,92.56
Del Norte,52.9,2018,54.46
Del Norte,52.1,2019,79.65
El Dorado,52.4,2011,41.67
El Dorado,54.7,2012,52.88
El Dorado,55,2013,16.06
El Dorado,56.7,2014,39.91
El Dorado,56.3,2015,32.49
El Dorado,55.2,2016,53.14
El Dorado,55.3,2017,73.52
El Dorado,55.4,2018,40.29
El Dorado,53.6,2019,60.52
Fresno,54.3,2011,17.62
Fresno,56.7,2012,16.34
Fresno,56.8,2013,5.29
Fresno,59,2014,12.44
Fresno,57.6,2015,12.23
Fresno,57.3,2016,19.6
Fresno,57.3,2017,27.16
Fresno,57.4,2018,16.87
Fresno,55.9,2019,25.12
Glenn,58.9,2011,22.55
Glenn,60.2,2012,28.93
Glenn,60.8,2013,7.59
Glenn,62.8,2014,31.68
Glenn,63.3,2015,12.36
Glenn,60.9,2016,29.61
Glenn,61.1,2017,28.56
Glenn,61,2018,18.95
Glenn,60.5,2019,39.12
Humboldt,53,2011,51.17
Humboldt,54.1,2012,74.5
Humboldt,54.2,2013,21.3
Humboldt,56.7,2014,54.59
Humboldt,56.5,2015,50.55
Humboldt,55.8,2016,79.86
Humboldt,54.8,2017,76.72
Humboldt,54.8,2018,48.62
Humboldt,54.5,2019,71.48
Imperial,73.3,2011,2.53
Imperial,75.2,2012,2.48
Imperial,74.4,2013,3.6
Imperial,76.5,2014,2.06
Imperial,75.9,2015,2.21
Imperial,75.5,2016,3.06
Imperial,76.3,2017,2.82
Imperial,75.3,2018,2.07
Imperial,72.8,2019,3.76
Inyo,59.9,2011,3.92
Inyo,62.5,2012,4.06
Inyo,61.8,2013,3.52
Inyo,63.6,2014,4.68
Inyo,62.4,2015,5.17
Inyo,62.3,2016,4.91
Inyo,62.6,2017,7.68
Inyo,62.7,2018,4.52
Inyo,60,2019,10
Kern,60.7,2011,6.71
Kern,63.2,2012,5.81
Kern,62.9,2013,3.6
Kern,65,2014,6.17
Kern,63.8,2015,5.56
Kern,63.6,2016,9.21
Kern,63.8,2017,9.68
Kern,63.6,2018,7.03
Kern,61.7,2019,13.32
Kings,62.2,2011,6.98
Kings,64.5,2012,5.6
Kings,64.5,2013,2.37
Kings,67.2,2014,6.15
Kings,65.7,2015,4.58
Kings,65.7,2016,7.61
Kings,65.6,2017,8.21
Kings,65.2,2018,5.61
Kings,64.4,2019,9.69
Lake,56,2011,37.29
Lake,57.1,2012,53.91
Lake,58.2,2013,12.35
Lake,60.1,2014,48.5
Lake,59.9,2015,25.36
Lake,58,2016,55.34
Lake,58.5,2017,56.99
Lake,58.5,2018,34.37
Lake,57.3,2019,60.95
Lassen,45.9,2011,16.68
Lassen,48.3,2012,21.64
Lassen,47.3,2013,8.55
Lassen,50.1,2014,20.3
Lassen,49.7,2015,17.23
Lassen,48.5,2016,23.63
Lassen,48.3,2017,28.47
Lassen,48,2018,18.88
Lassen,46.6,2019,25.57
Los Angeles,60.7,2011,12.03
Los Angeles,62.9,2012,9.31
Los Angeles,62.8,2013,4.95
Los Angeles,64.8,2014,10.32
Los Angeles,64.1,2015,7.11
Los Angeles,63.7,2016,12.59
Los Angeles,64.1,2017,13.69
Los Angeles,63.5,2018,10.79
Los Angeles,61.1,2019,23.4
