County,2011_bearing,2011_non_bearing,2011_total,2012_bearing,2012_non_bearing,2012_total,2013_bearing,2013_non_bearing,2013_total,2014_bearing,2014_non_bearing,2014_total,2015_bearing,2015_non_bearing,2015_total,2016_bearing,2016_non_bearing,2016_total,2017_bearing,2017_non_bearing,2017_total,2018_bearing,2018_non_bearing,2018_total,2019_bearing,2019_non_bearing,2019_total
Alameda,"2,831",18,"2,849","2,811",49,"2,860","2,900",32,"2,931","2,917",11,"2,927","2,931",22,"2,953","2,885",36,"2,921","2,885",34,"2,920","2,892",23,"2,914","2,901",28,"2,928"
Amador,"3,088",276,"3,364","3,176",178,"3,354","3,325",307,"3,631","3,424",217,"3,641","3,601",150,"3,751","3,541",100,"3,641","3,570",98,"3,668","3,707",57,"3,764","3,569",66,"3,635"
Butte,166,8,174,156,33,189,165,26,192,151,19,170,169,1,170,167,1,169,168,5,173,167,6,174,114,6,120
Calaveras,663,12,675,666,17,683,700,12,713,706,10,716,708,8,716,683,13,696,667,20,686,676,19,695,712,10,721
Colusa,"1,577",0,"1,577","1,577",0,"1,577","1,573",0,"1,573","1,594",0,"1,594","1,496",0,"1,496","1,496",0,"1,496","1,496",0,"1,496","1,442",10,"1,452",692,347,"1,040"
Contra Costa,"1,782",96,"1,878","1,690",85,"1,775","1,757",92,"1,849","1,820",87,"1,907","1,790",50,"1,839","1,754",27,"1,781","1,769",5,"1,774","1,633",11,"1,644","1,471",16,"1,487"
El Dorado,"1,798",49,"1,847","1,796",106,"1,902","1,965",107,"2,072","1,989",194,"2,183","2,047",143,"2,190","1,987",149,"2,136","2,064",83,"2,148","2,082",94,"2,176","2,149",55,"2,205"
Fresno,"39,866","1,943","41,808","39,355","2,975","42,330","40,127","2,687","42,814","40,709","2,669","43,378","39,307","2,695","42,002","37,831","2,277","40,108","37,552","1,100","38,651","36,857",767,"37,624","35,894","1,041","36,935"
Glenn,"1,046",0,"1,046","1,046",0,"1,046","1,046",0,"1,046","1,046",0,"1,046","1,007",0,"1,007",840,0,840,548,0,548,256,0,256,11,0,11
Humboldt,111,2,112,110,2,112,123,0,123,123,1,124,121,1,122,110,1,111,109,0,109,119,0,119,112,0,112
Kern,"20,512",580,"21,093","17,652",601,"18,253","17,572",619,"18,191","16,851",993,"17,844","17,081","1,512","18,593","17,144",427,"17,570","17,338",173,"17,511","17,467",47,"17,513","17,396",12,"17,407"
Kings,"1,526",15,"1,541","1,722",0,"1,722","1,717",319,"2,035","1,802",362,"2,164","1,987",128,"2,115","1,356",62,"1,418","1,356",47,"1,403","1,481",47,"1,528","1,528",192,"1,719"
Lake,"7,955",392,"8,347","8,155",236,"8,391","8,253",466,"8,719","8,070",712,"8,782","8,063","1,392","9,454","8,225","1,195","9,420","8,771",736,"9,507","9,254",427,"9,681","9,339",675,"10,014"
Lassen,,,,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3
Los Angeles,132,0,132,143,0,143,185,1,186,205,12,217,207,12,219,200,5,205,204,0,204,204,0,204,206,0,206
