County,Temp,Year
Alameda,57.9,2011
Alameda,59.3,2012
Alameda,59.5,2013
Alameda,62,2014
Alameda,61.1,2015
Alameda,60.4,2016
Alameda,60.5,2017
Alameda,59.8,2018
Alameda,59.6,2019
Alpine,42.7,2011
Alpine,45.1,2012
Alpine,44.6,2013
Alpine,46.8,2014
Alpine,46.4,2015
Alpine,45.9,2016
Alpine,45.4,2017
Alpine,45.7,2018
Alpine,43.5,2019
Amador,56.1,2011
Amador,58.5,2012
Amador,59.1,2013
Amador,61,2014
Amador,60.4,2015
Amador,59.2,2016
Amador,59.5,2017
Amador,59.7,2018
Amador,57.9,2019
Butte,58.2,2011
Butte,59.8,2012
Butte,60.4,2013
Butte,62.4,2014
Butte,62,2015
Butte,60.8,2016
Butte,61.1,2017
Butte,61,2018
Butte,60.2,2019
Calaveras,56.5,2011
Calaveras,59,2012
Calaveras,59.3,2013
Calaveras,61.1,2014
Calaveras,60.7,2015
Calaveras,59.5,2016
Calaveras,60,2017
Calaveras,60,2018
Calaveras,58.3,2019
Colusa,60,2011
Colusa,61.6,2012
Colusa,62.1,2013
Colusa,64.4,2014
Colusa,63.9,2015
Colusa,62.5,2016
Colusa,62.9,2017
Colusa,62.5,2018
Colusa,61.7,2019
Contra Costa,58.7,2011
Contra Costa,60.2,2012
Contra Costa,60.7,2013
Contra Costa,62.7,2014
Contra Costa,62,2015
Contra Costa,61.2,2016
Contra Costa,61.5,2017
Contra Costa,61,2018
Contra Costa,60.5,2019
Del Norte,51.3,2011
Del Norte,51.8,2012
Del Norte,52.9,2013
Del Norte,54.9,2014
Del Norte,54.7,2015
Del Norte,52.9,2016
Del Norte,52.4,2017
Del Norte,52.9,2018
Del Norte,52.1,2019
El Dorado,52.4,2011
El Dorado,54.7,2012
El Dorado,55,2013
El Dorado,56.7,2014
El Dorado,56.3,2015
El Dorado,55.2,2016
El Dorado,55.3,2017
El Dorado,55.4,2018
El Dorado,53.6,2019
Fresno,54.3,2011
Fresno,56.7,2012
Fresno,56.8,2013
Fresno,59,2014
Fresno,57.6,2015
Fresno,57.3,2016
Fresno,57.3,2017
Fresno,57.4,2018
Fresno,55.9,2019
Glenn,58.9,2011
Glenn,60.2,2012
Glenn,60.8,2013
Glenn,62.8,2014
Glenn,63.3,2015
Glenn,60.9,2016
Glenn,61.1,2017
Glenn,61,2018
Glenn,60.5,2019
Humboldt,53,2011
Humboldt,54.1,2012
Humboldt,54.2,2013
Humboldt,56.7,2014
Humboldt,56.5,2015
Humboldt,55.8,2016
Humboldt,54.8,2017
Humboldt,54.8,2018
Humboldt,54.5,2019
Imperial,73.3,2011
Imperial,75.2,2012
Imperial,74.4,2013
Imperial,76.5,2014
Imperial,75.9,2015
Imperial,75.5,2016
Imperial,76.3,2017
Imperial,75.3,2018
Imperial,72.8,2019
Inyo,59.9,2011
Inyo,62.5,2012
Inyo,61.8,2013
Inyo,63.6,2014
Inyo,62.4,2015
Inyo,62.3,2016
Inyo,62.6,2017
Inyo,62.7,2018
Inyo,60,2019
Kern,60.7,2011
Kern,63.2,2012
Kern,62.9,2013
Kern,65,2014
Kern,63.8,2015
Kern,63.6,2016
Kern,63.8,2017
Kern,63.6,2018
Kern,61.7,2019
Kings,62.2,2011
Kings,64.5,2012
Kings,64.5,2013
Kings,67.2,2014
Kings,65.7,2015
Kings,65.7,2016
Kings,65.6,2017
Kings,65.2,2018
Kings,64.4,2019
Lake,56,2011
Lake,57.1,2012
Lake,58.2,2013
Lake,60.1,2014
Lake,59.9,2015
Lake,58,2016
Lake,58.5,2017
Lake,58.5,2018
Lake,57.3,2019
Lassen,45.9,2011
Lassen,48.3,2012
Lassen,47.3,2013
Lassen,50.1,2014
Lassen,49.7,2015
Lassen,48.5,2016
Lassen,48.3,2017
Lassen,48,2018
Lassen,46.6,2019
Los Angeles,60.7,2011
Los Angeles,62.9,2012
Los Angeles,62.8,2013
Los Angeles,64.8,2014
Los Angeles,64.1,2015
Los Angeles,63.7,2016
Los Angeles,64.1,2017
Los Angeles,63.5,2018
Los Angeles,61.1,2019
Madera,54.8,2011
Madera,57.3,2012
Madera,57.2,2013
Madera,59.3,2014
Madera,58.4,2015
Madera,57.9,2016
Madera,57.8,2017
Madera,57.7,2018
Madera,56.4,2019
Marin,54.7,2011
Marin,55.6,2012
Marin,56.3,2013
Marin,58.8,2014
Marin,58.3,2015
Marin,57.1,2016
Marin,57.5,2017
Marin,56.7,2018
Marin,56.9,2019
Mariposa,53.8,2011
Mariposa,56.4,2012
Mariposa,56.3,2013
Mariposa,58.4,2014
Mariposa,57.5,2015
Mariposa,56.9,2016
Mariposa,57,2017
Mariposa,56.9,2018
Mariposa,55,2019
Mendocino,54.3,2011
Mendocino,55.4,2012
Mendocino,56,2013
Mendocino,58.1,2014
Mendocino,58,2015
Mendocino,56.6,2016
Mendocino,56.6,2017
Mendocino,56.2,2018
Mendocino,55.8,2019
Merced,60.8,2011
Merced,63.2,2012
Merced,63,2013
Merced,65.1,2014
Merced,64,2015
Merced,64,2016
Merced,64,2017
Merced,63.4,2018
Merced,63,2019
Modoc,45.5,2011
Modoc,47.6,2012
Modoc,46.8,2013
Modoc,49.7,2014
Modoc,49.8,2015
Modoc,48.4,2016
Modoc,48.2,2017
Modoc,48,2018
Modoc,46.7,2019
Mono,43.2,2011
Mono,46,2012
Mono,45.3,2013
Mono,47.2,2014
Mono,46.4,2015
Mono,46.3,2016
Mono,45.8,2017
Mono,46.1,2018
Mono,43.5,2019
Monterey,57.5,2011
Monterey,58.8,2012
Monterey,59.1,2013
Monterey,61.7,2014
Monterey,60.8,2015
Monterey,60,2016
Monterey,60.4,2017
Monterey,59.9,2018
Monterey,59.2,2019
Napa,58.2,2011
Napa,59.5,2012
Napa,60.1,2013
Napa,62,2014
Napa,61.6,2015
Napa,60.4,2016
Napa,60.8,2017
Napa,60.4,2018
Napa,60,2019
Nevada,50.7,2011
Nevada,53,2012
Nevada,53.2,2013
Nevada,55,2014
Nevada,54.8,2015
Nevada,53.4,2016
Nevada,53.7,2017
Nevada,53.8,2018
Nevada,52,2019
Orange,63.2,2011
Orange,65,2012
Orange,64.3,2013
Orange,67,2014
Orange,67,2015
Orange,66.1,2016
Orange,66.3,2017
Orange,65.8,2018
Orange,63.9,2019
Placer,52.2,2011
Placer,54.4,2012
Placer,54.6,2013
Placer,56.4,2014
Placer,56,2015
Placer,55,2016
Placer,55,2017
Placer,55,2018
Placer,53.4,2019
Plumas,46.3,2011
Plumas,48.5,2012
Plumas,47.9,2013
Plumas,50.3,2014
Plumas,50,2015
Plumas,48.9,2016
Plumas,48.7,2017
Plumas,48.6,2018
Plumas,47.1,2019
Riverside,67.5,2011
Riverside,69.7,2012
Riverside,68.9,2013
Riverside,70.8,2014
Riverside,70,2015
Riverside,70.1,2016
Riverside,70.7,2017
Riverside,70.2,2018
Riverside,67.6,2019
Sacramento,60.5,2011
Sacramento,62.4,2012
Sacramento,62.7,2013
Sacramento,64.9,2014
Sacramento,64.1,2015
Sacramento,63.5,2016
Sacramento,63.7,2017
Sacramento,62.9,2018
Sacramento,62.8,2019
San Benito,57.6,2011
San Benito,59.5,2012
San Benito,59.7,2013
San Benito,62.2,2014
San Benito,61.1,2015
San Benito,60.4,2016
San Benito,60.7,2017
San Benito,60.3,2018
San Benito,59.1,2019
San Bernardino,65.5,2011
San Bernardino,68,2012
San Bernardino,67,2013
San Bernardino,69,2014
San Bernardino,68.1,2015
San Bernardino,68.1,2016
San Bernardino,68.7,2017
San Bernardino,68.4,2018
San Bernardino,65.5,2019
San Diego,62,2011
San Diego,63.9,2012
San Diego,63.4,2013
San Diego,65.9,2014
San Diego,64.9,2015
San Diego,64.8,2016
San Diego,65.2,2017
San Diego,64.8,2018
San Diego,62.5,2019
San Francisco,56.1,2011
San Francisco,56.5,2012
San Francisco,57.1,2013
San Francisco,59.9,2014
San Francisco,59.4,2015
San Francisco,58.3,2016
San Francisco,58.5,2017
San Francisco,57.6,2018
San Francisco,57.9,2019
San Joaquin,60.4,2011
San Joaquin,62.2,2012
San Joaquin,62.2,2013
San Joaquin,64.5,2014
San Joaquin,63.9,2015
San Joaquin,63.3,2016
San Joaquin,63.7,2017
San Joaquin,63.3,2018
San Joaquin,62.7,2019
San Luis Obispo,58.4,2011
San Luis Obispo,60.2,2012
San Luis Obispo,60.6,2013
San Luis Obispo,62.7,2014
San Luis Obispo,61.4,2015
San Luis Obispo,61.1,2016
San Luis Obispo,61.7,2017
San Luis Obispo,61.1,2018
San Luis Obispo,59.7,2019
San Mateo,56,2011
San Mateo,56.6,2012
San Mateo,57.2,2013
San Mateo,59.6,2014
San Mateo,59.2,2015
San Mateo,58.2,2016
San Mateo,58.4,2017
San Mateo,57.6,2018
San Mateo,57.9,2019
Santa Barbara,57.6,2011
Santa Barbara,59,2012
Santa Barbara,59,2013
Santa Barbara,61.8,2014
Santa Barbara,61.2,2015
Santa Barbara,60.4,2016
Santa Barbara,60.7,2017
Santa Barbara,60.2,2018
Santa Barbara,58.9,2019
Santa Clara,57.2,2011
Santa Clara,58.6,2012
Santa Clara,58.9,2013
Santa Clara,61,2014
Santa Clara,60.4,2015
Santa Clara,59.9,2016
Santa Clara,59.8,2017
Santa Clara,59.5,2018
Santa Clara,59,2019
Santa Cruz,56.5,2011
Santa Cruz,56.9,2012
Santa Cruz,58,2013
Santa Cruz,60.2,2014
Santa Cruz,60.1,2015
Santa Cruz,58.9,2016
Santa Cruz,58.9,2017
Santa Cruz,58.4,2018
Santa Cruz,58.5,2019
Shasta,53.8,2011
Shasta,55.3,2012
Shasta,56.2,2013
Shasta,57.9,2014
Shasta,58,2015
Shasta,56.3,2016
Shasta,56.6,2017
Shasta,56.6,2018
Shasta,55.2,2019
Sierra,45.9,2011
Sierra,48.2,2012
Sierra,47.8,2013
Sierra,50,2014
Sierra,49.7,2015
Sierra,48.6,2016
Sierra,48.7,2017
Sierra,48.7,2018
Sierra,46.9,2019
Siskiyou,47.6,2011
Siskiyou,49.3,2012
Siskiyou,49.8,2013
Siskiyou,51.8,2014
Siskiyou,51.9,2015
Siskiyou,50.1,2016
Siskiyou,50,2017
Siskiyou,50.3,2018
Siskiyou,49,2019
Solano,59.5,2011
Solano,61.1,2012
Solano,61.5,2013
Solano,63.5,2014
Solano,62.8,2015
Solano,61.9,2016
Solano,62.2,2017
Solano,61.6,2018
Solano,61.6,2019
Sonoma,55.9,2011
Sonoma,56.9,2012
Sonoma,57.5,2013
Sonoma,59.7,2014
Sonoma,59.4,2015
Sonoma,58.2,2016
Sonoma,58.5,2017
Sonoma,58.1,2018
Sonoma,57.9,2019
Stanislaus,59.9,2011
Stanislaus,61.9,2012
Stanislaus,61.9,2013
Stanislaus,64,2014
Stanislaus,63.1,2015
Stanislaus,63.2,2016
Stanislaus,63.4,2017
Stanislaus,62.9,2018
Stanislaus,62.4,2019
Sutter,61.3,2011
Sutter,63.3,2012
Sutter,63.5,2013
Sutter,65.6,2014
Sutter,65,2015
Sutter,64.3,2016
Sutter,64.6,2017
Sutter,63.7,2018
Sutter,63.3,2019
Tehama,57.2,2011
Tehama,58.8,2012
Tehama,60,2013
Tehama,61.5,2014
Tehama,61.3,2015
Tehama,59.7,2016
Tehama,60.1,2017
Tehama,60.1,2018
Tehama,58.8,2019
Trinity,51.2,2011
Trinity,52.6,2012
Trinity,53.4,2013
Trinity,55.4,2014
Trinity,55.6,2015
Trinity,54,2016
Trinity,53.7,2017
Trinity,53.8,2018
Trinity,52.9,2019
Tulare,53.2,2011
Tulare,55.6,2012
Tulare,55.6,2013
Tulare,57.6,2014
Tulare,56.2,2015
Tulare,55.8,2016
Tulare,56,2017
Tulare,55.9,2018
Tulare,54.2,2019
Tuolumne,48.5,2011
Tuolumne,51.5,2012
Tuolumne,51,2013
Tuolumne,53.1,2014
Tuolumne,52.5,2015
Tuolumne,51.8,2016
Tuolumne,51.8,2017
Tuolumne,51.9,2018
Tuolumne,49.8,2019
Ventura,57,2011
Ventura,58.9,2012
Ventura,59.4,2013
Ventura,61,2014
Ventura,60.7,2015
Ventura,59.7,2016
Ventura,60.3,2017
Ventura,59.5,2018
Ventura,58.2,2019
Yolo,60.5,2011
Yolo,62.2,2012
Yolo,62.5,2013
Yolo,64.7,2014
Yolo,63.9,2015
Yolo,63.1,2016
Yolo,63.1,2017
Yolo,62.4,2018
Yolo,62.2,2019
Yuba,59.1,2011
Yuba,61.1,2012
Yuba,61.5,2013
Yuba,63.4,2014
Yuba,63,2015
Yuba,61.7,2016
Yuba,62.3,2017
Yuba,62,2018
Yuba,60.9,2019
