,County,Total Pcp,Year
0,Alameda,14.53,2011
1,Alameda,20.78,2012
2,Alameda,5.08,2013
3,Alameda,19.88,2014
4,Alameda,10.39,2015
5,Alameda,22.55,2016
6,Alameda,24.97,2017
7,Alameda,16.57,2018
8,Alameda,22.29,2019
9,Alpine,33.58,2011
10,Alpine,35.65,2012
11,Alpine,13.55,2013
12,Alpine,29.38,2014
13,Alpine,30.36,2015
14,Alpine,39.63,2016
15,Alpine,64.24,2017
16,Alpine,32.2,2018
17,Alpine,47.21,2019
18,Amador,33.13,2011
19,Amador,40.6,2012
20,Amador,12.25,2013
21,Amador,31.29,2014
22,Amador,26.66,2015
23,Amador,41.01,2016
24,Amador,55.94,2017
25,Amador,34.04,2018
26,Amador,48.65,2019
27,Butte,38.73,2011
28,Butte,53.46,2012
29,Butte,12.19,2013
30,Butte,43.72,2014
31,Butte,20.74,2015
32,Butte,55.96,2016
33,Butte,56.41,2017
34,Butte,34.51,2018
35,Butte,60.1,2019
36,Calaveras,32.11,2011
37,Calaveras,37.79,2012
38,Calaveras,11.14,2013
39,Calaveras,29.56,2014
40,Calaveras,25.26,2015
41,Calaveras,40.49,2016
42,Calaveras,51.55,2017
43,Calaveras,32.63,2018
44,Calaveras,48.25,2019
45,Colusa,22.35,2011
46,Colusa,29.95,2012
47,Colusa,8.22,2013
48,Colusa,28.67,2014
49,Colusa,11.92,2015
50,Colusa,25.49,2016
51,Colusa,27.44,2017
52,Colusa,18.08,2018
53,Colusa,32.89,2019
54,Contra Costa,15.69,2011
55,Contra Costa,23.25,2012
56,Contra Costa,5.27,2013
57,Contra Costa,21.07,2014
58,Contra Costa,9.28,2015
59,Contra Costa,22.55,2016
60,Contra Costa,26.84,2017
61,Contra Costa,17.52,2018
62,Contra Costa,23.29,2019
63,Del Norte,67.35,2011
64,Del Norte,102.62,2012
65,Del Norte,35.0,2013
66,Del Norte,67.16,2014
67,Del Norte,69.35,2015
68,Del Norte,97.59,2016
69,Del Norte,92.56,2017
70,Del Norte,54.46,2018
71,Del Norte,79.65,2019
72,El Dorado,41.67,2011
73,El Dorado,52.88,2012
74,El Dorado,16.06,2013
75,El Dorado,39.91,2014
76,El Dorado,32.49,2015
77,El Dorado,53.14,2016
78,El Dorado,73.52,2017
79,El Dorado,40.29,2018
80,El Dorado,60.52,2019
81,Fresno,17.62,2011
82,Fresno,16.34,2012
83,Fresno,5.29,2013
84,Fresno,12.44,2014
85,Fresno,12.23,2015
86,Fresno,19.6,2016
87,Fresno,27.16,2017
88,Fresno,16.87,2018
89,Fresno,25.12,2019
90,Glenn,22.55,2011
91,Glenn,28.93,2012
92,Glenn,7.59,2013
93,Glenn,31.68,2014
94,Glenn,12.36,2015
95,Glenn,29.61,2016
96,Glenn,28.56,2017
97,Glenn,18.95,2018
98,Glenn,39.12,2019
99,Humboldt,51.17,2011
100,Humboldt,74.5,2012
101,Humboldt,21.3,2013
102,Humboldt,54.59,2014
103,Humboldt,50.55,2015
104,Humboldt,79.86,2016
105,Humboldt,76.72,2017
106,Humboldt,48.62,2018
107,Humboldt,71.48,2019
108,Imperial,2.53,2011
109,Imperial,2.48,2012
110,Imperial,3.6,2013
111,Imperial,2.06,2014
112,Imperial,2.21,2015
113,Imperial,3.06,2016
114,Imperial,2.82,2017
115,Imperial,2.07,2018
116,Imperial,3.76,2019
117,Inyo,3.92,2011
118,Inyo,4.06,2012
119,Inyo,3.52,2013
120,Inyo,4.68,2014
121,Inyo,5.17,2015
122,Inyo,4.91,2016
123,Inyo,7.68,2017
124,Inyo,4.52,2018
125,Inyo,10.0,2019
126,Kern,6.71,2011
127,Kern,5.81,2012
128,Kern,3.6,2013
129,Kern,6.17,2014
130,Kern,5.56,2015
131,Kern,9.21,2016
132,Kern,9.68,2017
133,Kern,7.03,2018
134,Kern,13.32,2019
135,Kings,6.98,2011
136,Kings,5.6,2012
137,Kings,2.37,2013
138,Kings,6.15,2014
139,Kings,4.58,2015
140,Kings,7.61,2016
141,Kings,8.21,2017
142,Kings,5.61,2018
143,Kings,9.69,2019
144,Lake,37.29,2011
145,Lake,53.91,2012
146,Lake,12.35,2013
147,Lake,48.5,2014
148,Lake,25.36,2015
149,Lake,55.34,2016
150,Lake,56.99,2017
151,Lake,34.37,2018
152,Lake,60.95,2019
153,Lassen,16.68,2011
154,Lassen,21.64,2012
155,Lassen,8.55,2013
156,Lassen,20.3,2014
157,Lassen,17.23,2015
158,Lassen,23.63,2016
159,Lassen,28.47,2017
160,Lassen,18.88,2018
161,Lassen,25.57,2019
162,Los Angeles,12.03,2011
163,Los Angeles,9.31,2012
164,Los Angeles,4.95,2013
165,Los Angeles,10.32,2014
166,Los Angeles,7.11,2015
167,Los Angeles,12.59,2016
168,Los Angeles,13.69,2017
169,Los Angeles,10.79,2018
170,Los Angeles,23.4,2019
171,Madera,20.05,2011
172,Madera,20.75,2012
173,Madera,6.64,2013
174,Madera,13.96,2014
175,Madera,14.42,2015
176,Madera,24.08,2016
177,Madera,29.76,2017
178,Madera,20.72,2018
179,Madera,25.3,2019
180,Marin,28.49,2011
181,Marin,44.26,2012
182,Marin,8.4,2013
183,Marin,40.24,2014
184,Marin,15.93,2015
185,Marin,40.81,2016
186,Marin,45.85,2017
187,Marin,30.49,2018
188,Marin,46.7,2019
189,Mariposa,28.19,2011
190,Mariposa,29.99,2012
191,Mariposa,9.39,2013
192,Mariposa,19.44,2014
193,Mariposa,20.0,2015
194,Mariposa,34.7,2016
195,Mariposa,41.99,2017
196,Mariposa,30.17,2018
197,Mariposa,38.06,2019
198,Mendocino,42.9,2011
199,Mendocino,59.58,2012
200,Mendocino,15.5,2013
201,Mendocino,55.43,2014
202,Mendocino,35.42,2015
203,Mendocino,65.92,2016
204,Mendocino,61.04,2017
205,Mendocino,41.72,2018
206,Mendocino,62.39,2019
207,Merced,10.04,2011
208,Merced,10.16,2012
209,Merced,3.5,2013
210,Merced,10.12,2014
211,Merced,6.98,2015
