County,Date,PCP
Alameda County,201101,1.04
Alameda County,201102,3.47
Alameda County,201103,5.65
Alameda County,201104,0.26
Alameda County,201105,0.81
Alameda County,201106,0.71
Alameda County,201107,0.01
Alameda County,201108,0
Alameda County,201109,0
Alameda County,201110,1.32
Alameda County,201111,1.15
Alameda County,201112,0.11
Alameda County,201201,2.08
Alameda County,201202,0.84
Alameda County,201203,4.4
Alameda County,201204,2.73
Alameda County,201205,0.03
Alameda County,201206,0.14
Alameda County,201207,0.01
Alameda County,201208,0
Alameda County,201209,0
Alameda County,201210,0.79
Alameda County,201211,3.95
Alameda County,201212,5.81
Alameda County,201301,0.81
Alameda County,201302,0.47
Alameda County,201303,0.63
Alameda County,201304,0.69
Alameda County,201305,0.07
Alameda County,201306,0.12
Alameda County,201307,0
Alameda County,201308,0
Alameda County,201309,0.54
Alameda County,201310,0.01
Alameda County,201311,1.31
Alameda County,201312,0.43
Alameda County,201401,0.11
Alameda County,201402,3.83
Alameda County,201403,2.02
Alameda County,201404,1.36
Alameda County,201405,0.02
Alameda County,201406,0.01
Alameda County,201407,0.01
Alameda County,201408,0.01
Alameda County,201409,0.39
Alameda County,201410,0.47
Alameda County,201411,1.75
Alameda County,201412,9.9
Alameda County,201501,0.01
Alameda County,201502,2.25
Alameda County,201503,0.26
Alameda County,201504,1.15
Alameda County,201505,0.37
Alameda County,201506,0.27
Alameda County,201507,0.01
Alameda County,201508,0.02
Alameda County,201509,0.04
Alameda County,201510,0.08
Alameda County,201511,2.41
Alameda County,201512,3.52
Alameda County,201601,5.65
Alameda County,201602,0.84
Alameda County,201603,5.25
Alameda County,201604,1.94
Alameda County,201605,0.24
Alameda County,201606,0
Alameda County,201607,0
Alameda County,201608,0
Alameda County,201609,0
Alameda County,201610,3.65
Alameda County,201611,1.48
Alameda County,201612,3.5
Alameda County,201701,9.38
Alameda County,201702,7.41
Alameda County,201703,2.65
Alameda County,201704,2.5
Alameda County,201705,0.03
Alameda County,201706,0.04
Alameda County,201707,0
Alameda County,201708,0.01
Alameda County,201709,0.06
Alameda County,201710,0.21
Alameda County,201711,2.58
Alameda County,201712,0.1
Alameda County,201801,4.28
Alameda County,201802,0.57
Alameda County,201803,4.39
Alameda County,201804,2.44
Alameda County,201805,0.02
Alameda County,201806,0
Alameda County,201807,0
Alameda County,201808,0
Alameda County,201809,0
Alameda County,201810,0.14
Alameda County,201811,2.71
Alameda County,201812,2.02
Alameda County,201901,3.73
Alameda County,201902,6.83
Alameda County,201903,4.11
Alameda County,201904,0.47
Alameda County,201905,2.25
Alameda County,201906,0
Alameda County,201907,0
Alameda County,201908,0
Alameda County,201909,0.19
Alameda County,201910,0
Alameda County,201911,1.09
Alameda County,201912,3.62
Alameda County,202001,1.54
Alameda County,202002,0
Alameda County,202003,2.62
Alameda County,202004,1.53
Alameda County,202005,0.62
Alameda County,202006,0
Alameda County,202007,0
Alameda County,202008,0.07
Alameda County,202009,0
Alameda County,202010,0
Alpine County,201101,1.69
Alpine County,201102,6.5
Alpine County,201103,11.59
Alpine County,201104,2.35
Alpine County,201105,2.61
Alpine County,201106,3.42
Alpine County,201107,0.75
Alpine County,201108,0.11
Alpine County,201109,1.17
Alpine County,201110,1.97
Alpine County,201111,1.38
Alpine County,201112,0.04
Alpine County,201201,4.98
Alpine County,201202,1.82
Alpine County,201203,4.82
Alpine County,201204,2.34
Alpine County,201205,0.38
