County,Date,PCP
Alameda County,201101,1.04
Alameda County,201201,2.08
Alameda County,201301,0.81
Alameda County,201401,0.11
Alameda County,201501,0.01
Alameda County,201601,5.65
Alameda County,201701,9.38
Alameda County,201801,4.28
Alameda County,201901,3.73
Alpine County,201101,1.69
Alpine County,201201,4.98
Alpine County,201301,1.22
Alpine County,201401,2.98
Alpine County,201501,0.22
Alpine County,201601,8.29
Alpine County,201701,22.13
Alpine County,201801,3.65
Alpine County,201901,8.17
Amador County,201101,2.89
Amador County,201201,4.88
Amador County,201301,1.34
Amador County,201401,1.45
Amador County,201501,0.14
Amador County,201601,9.96
Amador County,201701,18.68
Amador County,201801,5.62
Amador County,201901,8.17
Butte County,201101,2.21
Butte County,201201,7.48
Butte County,201301,1.19
Butte County,201401,0.84
Butte County,201501,0.21
Butte County,201601,14.46
Butte County,201701,16.25
Butte County,201801,6.19
Butte County,201901,12.01
Calaveras County,201101,2.9
Calaveras County,201201,4.55
Calaveras County,201301,1.29
Calaveras County,201401,1.31
Calaveras County,201501,0.13
Calaveras County,201601,9.56
Calaveras County,201701,17.72
Calaveras County,201801,5.28
Calaveras County,201901,7.7
Colusa County,201101,2.14
Colusa County,201201,4.66
Colusa County,201301,1.54
Colusa County,201401,0.59
Colusa County,201501,0.18
Colusa County,201601,6.5
Colusa County,201701,10.07
Colusa County,201801,3.94
Colusa County,201901,6.09
Contra Costa County,201101,1.28
Contra Costa County,201201,2.75
Contra Costa County,201301,0.79
Contra Costa County,201401,0.14
Contra Costa County,201501,0.01
Contra Costa County,201601,6.44
Contra Costa County,201701,10.68
Contra Costa County,201801,4.02
Contra Costa County,201901,4.66
Del Norte County,201101,4.73
Del Norte County,201201,15.85
Del Norte County,201301,5.16
Del Norte County,201401,3.11
Del Norte County,201501,3.49
Del Norte County,201601,19.64
Del Norte County,201701,19.87
Del Norte County,201801,13.33
Del Norte County,201901,13.57
El Dorado County,201101,2.39
El Dorado County,201201,6.61
El Dorado County,201301,1.44
El Dorado County,201401,2.44
El Dorado County,201501,0.12
El Dorado County,201601,11.92
El Dorado County,201701,24.56
El Dorado County,201801,6.61
El Dorado County,201901,10.66
Fresno County,201101,2.07
Fresno County,201201,2.39
Fresno County,201301,1.07
Fresno County,201401,0.58
Fresno County,201501,0.19
Fresno County,201601,5.47
Fresno County,201701,12.17
Fresno County,201801,2.1
Fresno County,201901,4.01
Glenn County,201101,1.7
